transaction_id;issue_date;certificate_fee;payment_method;student_id;student_name;student_email;student_country;student_age;platform_id;platform_name;platform_country;certificate_id;certificate_name;certificate_type;certificate_language;course_id;course_name;course_category;course_info;online_date
334;2022-06-05;77.84;Credit Card;102;Omar Williams;omar.williams22@protonmail.com;India;47;92;BrightAcademy;Netherlands;573;Database Foundations Certificate;completion;Portuguese;208;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-02-25
8277;2030-10-18;339.12;Bank Transfer;287;Fatima Ferrari;fatima.ferrari912@hotmail.com;Australia;30;450;SkillMind;United Kingdom;402;Business Analytics Certificate;specialization;Portuguese;209;Excel for Professionals;Finance & Accounting;Prepares students to automate reporting and work with advanced formulas, requires basic Excel skills.;2026-02-26
3450;2025-04-14;202.36;Credit Card;948;Li Bianchi;li.bianchi772@protonmail.com;India;20;162;SmartForge;France;986;Business Intelligence Specialist;specialization;French;210;Python for Business Analytics;Data Science & AI;Prepares students to analyze business data with Python, requires familiarity with spreadsheets and basic logic.;2026-02-27
2017;2024-04-29;171.5;Credit Card;890;Ana Thomas;ana.thomas214@hotmail.com;Spain;36;484;PrimeBoost;United States;542;Business Analytics Certificate;specialization;French;211;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-02-28
7383;2029-07-02;900.0;Credit Card;58;Hina Bianchi;hina.bianchi344@icloud.com;India;36;127;SkillGate;Brazil;669;Financial Modeling Certificate;professional;Portuguese;105;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-03-01
1111;2023-06-26;311.02;Bank Transfer;666;Mohammed Davis;mohammed.davis374@hotmail.com;Germany;19;115;ProVault;United Kingdom;291;HR Analytics Certificate;specialization;Spanish;212;Process Improvement Techniques;Professional Development;Prepares students to improve processes using structured methods, requires analytical thinking.;2026-03-02
1837;2024-03-03;373.26;Bank Transfer;549;Jennifer Costa;jennifer.costa492@icloud.com;United States;43;329;ByteHive;United States;51;HR Analytics Certificate;specialization;Spanish;50;AI Tools for Productivity;Data Science & AI;Prepares students to use modern AI tools responsibly in daily work, requires general digital literacy.;2026-03-03
10220;2034-03-22;310.58;Debit Card;490;Sarah Greco;sarah.greco796@yahoo.com;United Kingdom;22;48;BrightBoost;United Kingdom;861;Data Professional;professional;English;169;Data Visualization with Power BI;Data Science & AI;Prepares students to build business dashboards in Power BI, requires basic data handling skills.;2026-03-04
2207;2024-06-19;835.23;Bank Transfer;176;Omar Petit;omar.petit925@icloud.com;Other;56;437;NovaGrow;United Kingdom;43;Project Management Certificate;professional;English;213;Business Communication Skills;Marketing & Sales;Prepares students to communicate clearly in professional environments, requires no technical background.;2026-03-05
5191;2026-02-15;60.4;Credit Card;881;Jennifer Pereira;jennifer.pereira955@hotmail.com;South Africa;48;291;CloudWorld;United States;713;Database Foundations Certificate;completion;Spanish;195;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-03-06
3087;2025-01-30;214.93;Credit Card;733;Robert Durand;robert.durand594@protonmail.com;United States;53;47;ProNet;United States;835;Statistics for Business Certificate;specialization;Italian;214;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-03-07
6715;2028-07-10;70.91;PayPal;283;Emma Colombo;emma.colombo219@hotmail.com;Italy;37;193;AgileGrow;India;236;Web Development Foundations Certificate;completion;English;215;Database Design Principles;Data Science & AI;Prepares students to model business data structures, requires logical reasoning and basic computing knowledge.;2026-03-08
8930;2031-10-02;51.49;Credit Card;515;Susan Weber;susan.weber775@icloud.com;India;59;485;CorePath;United States;132;Excel Professional Certificate;completion;German;33;SQL for Data Management;Data Science & AI;Prepares students to query and manage relational databases, requires no prior SQL experience.;2026-03-09
10171;2034-02-08;899.45;Bank Transfer;5;Karen Kumar;karen.kumar709@outlook.com;Brazil;47;376;PeakGrow;Ireland;408;Machine Learning Foundations Certificate;advanced;Spanish;216;Python for Business Analytics;Data Science & AI;Prepares students to analyze business data with Python, requires familiarity with spreadsheets and basic logic.;2026-03-10
4608;2025-11-05;858.06;Debit Card;27;Emma Smith;emma.smith824@yahoo.com;Brazil;18;356;PrimePro;Portugal;457;Supply Chain Analytics Certificate;advanced;French;217;Industrial IoT Fundamentals;Professional Development;Prepares students to understand sensors, connectivity, and monitoring systems, requires basic technical curiosity.;2026-03-11
54;2021-09-02;413.07;Bank Transfer;439;Inês Miller;inês.miller274@outlook.com;Australia;39;160;DigitalGate;United Kingdom;195;Statistics for Business Certificate;specialization;Spanish;176;R for Data Analysis;Data Science & AI;Prepares students to perform statistical analysis in R, requires basic statistics knowledge.;2026-03-12
1579;2023-12-12;900.0;PayPal;31;Mohammed Gupta;mohammed.gupta804@icloud.com;Brazil;36;447;NovaSphere;United States;923;Project Management Certificate;professional;English;218;Data Governance Fundamentals;Data Science & AI;Prepares students to define standards for data quality and ownership, requires spreadsheet familiarity.;2026-03-13
590;2022-10-24;900.0;Credit Card;663;James Davis;james.davis301@hotmail.com;India;53;181;SmartLabs;India;238;Power BI Analyst Certificate;professional;Italian;219;Risk Management Essentials;Business & Management;Prepares students to identify, assess, and report business risks, requires basic business literacy.;2026-03-14
2115;2024-05-24;129.01;Credit Card;270;Arjun Romano;arjun.romano262@hotmail.com;Italy;32;407;ZenStream;Australia;726;Business Intelligence Specialist;specialization;Italian;220;Python for Business Analytics;Data Science & AI;Prepares students to analyze business data with Python, requires familiarity with spreadsheets and basic logic.;2026-03-15
4595;2025-11-03;52.26;Credit Card;172;Liam Wagner;liam.wagner372@outlook.com;Brazil;29;122;NexusGrow;Germany;64;Cloud Fundamentals Certificate;completion;English;221;Process Improvement Techniques;Professional Development;Prepares students to improve processes using structured methods, requires analytical thinking.;2026-03-16
509;2022-09-06;32.7;Credit Card;429;Wei Shah;wei.shah947@protonmail.com;United States;38;419;EduForge;Ireland;473;Database Foundations Certificate;completion;Portuguese;119;ERP Systems Introduction;Professional Development;Prepares students to understand ERP workflows and organizational data, requires basic business process awareness.;2026-03-17
4371;2025-09-26;47.74;Credit Card;854;Barbara Singh;barbara.singh136@hotmail.com;France;30;267;SparkPath;United States;73;Database Foundations Certificate;completion;Portuguese;222;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-03-18
3544;2025-05-02;716.99;PayPal;197;Giulia Brown;giulia.brown772@icloud.com;South Africa;65;136;NovaGate;Portugal;317;Supply Chain Analytics Certificate;advanced;Spanish;11;Industrial IoT Fundamentals;Professional Development;Prepares students to understand sensors, connectivity, and monitoring systems, requires basic technical curiosity.;2026-03-19
3545;2025-05-02;1039.08;Credit Card;2;Jennifer Marino;jennifer.marino907@icloud.com;India;44;136;NovaGate;Portugal;317;Supply Chain Analytics Certificate;advanced;Spanish;58;Process Improvement Techniques;Professional Development;Prepares students to improve processes using structured methods, requires analytical thinking.;2026-03-20
3546;2025-05-02;750.26;Bank Transfer;826;Sarah Ferreira;sarah.ferreira182@hotmail.com;United Kingdom;38;136;NovaGate;Portugal;317;Supply Chain Analytics Certificate;advanced;Spanish;67;Business Intelligence Foundations;Professional Development;Prepares students to design dashboards and reports, requires basic numerical reasoning.;2026-03-21
4242;2025-09-08;61.03;PayPal;652;Wei Fischer;wei.fischer425@icloud.com;Brazil;20;105;DataForge;India;25;Cybersecurity Awareness Certificate;completion;English;223;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-03-22
5482;2026-07-21;303.72;Bank Transfer;941;Layla Ricci;layla.ricci80@outlook.com;Australia;48;461;DigitalCenter;United States;111;HR Analytics Certificate;specialization;English;224;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-03-23
6602;2028-05-12;39.86;Credit Card;876;Maria Singh;maria.singh980@protonmail.com;Brazil;54;245;ZenPath;Australia;204;Cloud Fundamentals Certificate;completion;German;197;Web Development Basics;Technology & IT;Prepares students to understand front-end and back-end web concepts, requires basic computer literacy.;2026-03-24
2875;2024-12-09;671.08;PayPal;310;Arjun Robert;arjun.robert254@outlook.com;Other;30;109;SmartAcademy;Netherlands;980;Operations Excellence Certificate;advanced;English;225;HR Analytics;Data Science & AI;Prepares students to analyze workforce and recruitment metrics, requires basic spreadsheet knowledge.;2026-03-25
9037;2031-11-29;238.95;PayPal;638;Hassan Costa;hassan.costa35@gmail.com;South Africa;48;356;PrimePro;Portugal;731;HR Analytics Certificate;specialization;English;226;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-03-26
9025;2031-11-20;535.68;Credit Card;503;Mariana Martin;mariana.martin612@icloud.com;United States;34;385;CoreCenter;United States;774;Agile Practitioner Certificate;professional;Portuguese;227;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-03-27
1890;2024-03-22;590.7;Credit Card;366;Lucas Ferrari;lucas.ferrari118@hotmail.com;United States;49;27;ZenSchool;India;98;Power BI Analyst Certificate;professional;Portuguese;228;Industrial IoT Fundamentals;Professional Development;Prepares students to understand sensors, connectivity, and monitoring systems, requires basic technical curiosity.;2026-03-28
1863;2024-03-11;120.0;Bank Transfer;917;Jennifer Brown;jennifer.brown460@icloud.com;Mexico;18;434;AgileGate;France;76;Web Development Foundations Certificate;completion;Spanish;229;Process Improvement Techniques;Professional Development;Prepares students to improve processes using structured methods, requires analytical thinking.;2026-03-29
5919;2027-04-01;99.63;PayPal;665;Wei Moreau;wei.moreau499@icloud.com;United States;26;29;FutureGate;United States;584;Cloud Fundamentals Certificate;completion;English;230;Customer Experience Analytics;Data Science & AI;Prepares students to analyze customer satisfaction and service metrics, requires communication and spreadsheet skills.;2026-03-30
4047;2025-08-02;439.27;Bank Transfer;499;Zara Nair;zara.nair687@yahoo.com;South Africa;23;71;ZenInstitute;Canada;143;Project Management Certificate;professional;Portuguese;231;ERP Systems Introduction;Professional Development;Prepares students to understand ERP workflows and organizational data, requires basic business process awareness.;2026-03-31
2687;2024-10-19;821.33;Credit Card;658;Mary Costa;mary.costa493@gmail.com;Canada;38;328;SparkForge;United Kingdom;408;Machine Learning Foundations Certificate;advanced;Spanish;232;Data Visualization with Power BI;Data Science & AI;Prepares students to build business dashboards in Power BI, requires basic data handling skills.;2026-04-01
6988;2028-12-03;253.96;Bank Transfer;792;Hina Meyer;hina.meyer282@hotmail.com;Canada;19;89;PeakGate;United States;467;Digital Marketing Analyst;specialization;Spanish;233;ERP Systems Introduction;Professional Development;Prepares students to understand ERP workflows and organizational data, requires basic business process awareness.;2026-04-02
116;2021-12-07;751.78;Bank Transfer;193;Min Gupta;min.gupta260@icloud.com;Other;43;453;CoreLearning;United States;130;Industrial IoT Certificate;advanced;English;234;AI Tools for Productivity;Data Science & AI;Prepares students to use modern AI tools responsibly in daily work, requires general digital literacy.;2026-04-03
1281;2023-08-31;313.52;Bank Transfer;402;Jin Leroy;jin.leroy310@icloud.com;Spain;55;191;ApexInstitute;Singapore;571;HR Analytics Certificate;specialization;English;235;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-04-04
1870;2024-03-14;37.81;Bank Transfer;57;Pedro Costa;pedro.costa510@gmail.com;United States;25;432;TechAcademy;Australia;905;Cybersecurity Awareness Certificate;completion;Portuguese;236;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-04-05
9203;2032-03-03;387.9;PayPal;422;Li Dubois;li.dubois883@outlook.com;India;35;177;DataHub;India;347;Digital Marketing Analyst;specialization;English;156;Cybersecurity Awareness;Technology & IT;Prepares students to identify cyber risks and good security practices, requires no previous technical background.;2026-04-06
6682;2028-06-21;1400.0;Credit Card;588;Ava Romano;ava.romano915@icloud.com;Germany;20;248;NexusStream;United States;188;Machine Learning Foundations Certificate;advanced;English;137;Web Development Basics;Technology & IT;Prepares students to understand front-end and back-end web concepts, requires basic computer literacy.;2026-04-07
5729;2026-12-07;523.18;Credit Card;92;Richard Romano;richard.romano933@protonmail.com;India;28;369;EduConnect;United States;94;Agile Practitioner Certificate;professional;English;237;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-04-08
6226;2027-10-02;65.52;Bank Transfer;172;Liam Wagner;liam.wagner372@outlook.com;Brazil;29;189;GlobalBoost;United States;192;Excel Professional Certificate;completion;English;64;Project Management Essentials;Business & Management;Prepares students to coordinate projects and teams, requires basic organizational and communication skills.;2026-04-09
8215;2030-09-22;301.1;Credit Card;992;Lucas Greco;lucas.greco511@icloud.com;United States;43;296;BrightMind;India;202;Business Analytics Certificate;specialization;English;190;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-04-10
9277;2032-04-22;1285.86;Credit Card;209;Wei Bernard;wei.bernard783@outlook.com;United States;48;376;PeakGrow;Ireland;568;Machine Learning Foundations Certificate;advanced;Spanish;238;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-04-11
7654;2029-11-08;513.3;Credit Card;138;Inês Wagner;inês.wagner598@yahoo.com;India;24;480;PeakInstitute;United States;669;Financial Modeling Certificate;professional;Portuguese;239;Information Security Foundations;Technology & IT;Prepares students to understand core information security principles, requires no prior security certification.;2026-04-12
2582;2024-09-23;797.32;PayPal;705;Noah Silva;noah.silva75@outlook.com;Poland;46;381;TechConnect;United States;681;Data Professional;professional;Italian;49;Data Visualization with Power BI;Data Science & AI;Prepares students to build business dashboards in Power BI, requires basic data handling skills.;2026-04-13
6713;2028-07-10;86.02;Bank Transfer;180;Ava Nair;ava.nair546@hotmail.com;United States;42;116;SkillLearning;Japan;25;Cybersecurity Awareness Certificate;completion;English;66;Cybersecurity Awareness;Technology & IT;Prepares students to identify cyber risks and good security practices, requires no previous technical background.;2026-04-14
4179;2025-08-26;450.0;Credit Card;136;Maria Rossi;maria.rossi853@protonmail.com;India;56;452;NexusForge;United States;107;Digital Marketing Analyst;specialization;Italian;2;Python for Business Analytics;Data Science & AI;Prepares students to analyze business data with Python, requires familiarity with spreadsheets and basic logic.;2026-04-15
3505;2025-04-25;64.62;Bank Transfer;16;Min Silva;min.silva981@outlook.com;Netherlands;42;182;TechMind;France;984;Cloud Fundamentals Certificate;completion;Italian;240;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-04-16
5370;2026-05-28;142.72;Bank Transfer;270;Arjun Romano;arjun.romano262@hotmail.com;Italy;32;120;TechGate;Portugal;395;Statistics for Business Certificate;specialization;English;101;Industrial IoT Fundamentals;Professional Development;Prepares students to understand sensors, connectivity, and monitoring systems, requires basic technical curiosity.;2026-04-17
6491;2028-03-07;43.91;PayPal;157;Miguel Becker;miguel.becker878@yahoo.com;Canada;61;167;NovaBoost;Canada;233;Database Foundations Certificate;completion;Spanish;241;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-04-18
8501;2031-02-18;72.8;Credit Card;565;Susan Gupta;susan.gupta749@protonmail.com;United States;19;187;ZenUniversity;United Kingdom;993;Database Foundations Certificate;completion;Spanish;111;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-04-19
7763;2030-01-12;103.89;Bank Transfer;254;Zara Kumar;zara.kumar403@icloud.com;Brazil;42;187;ZenUniversity;United Kingdom;993;Database Foundations Certificate;completion;Spanish;168;Supply Chain Analytics;Data Science & AI;Prepares students to analyze logistics and operational performance, requires spreadsheet knowledge.;2026-04-20
1737;2024-01-29;457.6;Credit Card;153;Lucas Wagner;lucas.wagner268@hotmail.com;Poland;64;142;LearnInstitute;Brazil;189;Financial Modeling Certificate;professional;French;242;Supply Chain Analytics;Data Science & AI;Prepares students to analyze logistics and operational performance, requires spreadsheet knowledge.;2026-04-21
9972;2033-08-15;66.87;PayPal;328;Noah Williams;noah.williams443@icloud.com;United States;25;97;OpenCenter;Portugal;125;Cybersecurity Awareness Certificate;completion;Portuguese;8;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-04-22
10641;2035-11-17;92.14;Credit Card;586;Yuki Weber;yuki.weber641@protonmail.com;United States;58;83;GlobalConnect;United States;512;Excel Professional Certificate;completion;English;142;Customer Experience Analytics;Data Science & AI;Prepares students to analyze customer satisfaction and service metrics, requires communication and spreadsheet skills.;2026-04-23
10112;2033-12-19;51.72;Bank Transfer;297;Joseph Brown;joseph.brown236@gmail.com;Brazil;36;349;LearnHub;Australia;204;Cloud Fundamentals Certificate;completion;German;243;Information Security Foundations;Technology & IT;Prepares students to understand core information security principles, requires no prior security certification.;2026-04-24
8694;2031-06-03;230.11;PayPal;177;Michael Dubois;michael.dubois512@protonmail.com;United States;42;37;CloudCampus;India;86;Business Intelligence Specialist;specialization;English;244;Project Management Essentials;Business & Management;Prepares students to coordinate projects and teams, requires basic organizational and communication skills.;2026-04-25
6864;2028-09-21;189.39;Credit Card;634;Susan Petit;susan.petit39@hotmail.com;United States;20;479;FutureHive;United States;167;Digital Marketing Analyst;specialization;Spanish;245;Industrial IoT Fundamentals;Professional Development;Prepares students to understand sensors, connectivity, and monitoring systems, requires basic technical curiosity.;2026-04-26
3156;2025-02-16;430.47;Credit Card;434;John Petit;john.petit477@gmail.com;Argentina;45;318;CloudWorks;United Kingdom;851;HR Analytics Certificate;specialization;Spanish;246;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-04-27
5835;2027-02-09;900.0;Bank Transfer;314;Raj Garcia;raj.garcia407@icloud.com;United Kingdom;47;379;RiseMind;India;318;Power BI Analyst Certificate;professional;Italian;247;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-04-28
8120;2030-08-04;41.71;Credit Card;865;Sarah Bianchi;sarah.bianchi25@protonmail.com;Portugal;30;155;GlobalCampus;India;173;Database Foundations Certificate;completion;Spanish;113;Risk Management Essentials;Business & Management;Prepares students to identify, assess, and report business risks, requires basic business literacy.;2026-04-29
7562;2029-09-27;68.98;Credit Card;160;Gabriel Kumar;gabriel.kumar581@yahoo.com;India;28;155;GlobalCampus;India;173;Database Foundations Certificate;completion;Spanish;153;SQL for Data Management;Data Science & AI;Prepares students to query and manage relational databases, requires no prior SQL experience.;2026-04-30
9364;2032-06-15;900.0;Credit Card;535;Luca Martin;luca.martin844@outlook.com;India;20;281;EduBoost;India;181;Data Professional;professional;English;248;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-05-01
5662;2026-11-06;1034.77;PayPal;887;Min Wilson;min.wilson755@gmail.com;Brazil;39;127;SkillGate;Brazil;570;Industrial IoT Certificate;advanced;English;105;Agile and Scrum Fundamentals;Business & Management;Prepares students to work in agile delivery environments, requires no prior agile certification.;2026-05-02
8189;2030-09-07;61.09;Bank Transfer;30;Robert Santos;robert.santos719@icloud.com;India;45;239;SkillAcademy;Germany;444;Cloud Fundamentals Certificate;completion;English;249;Excel for Professionals;Finance & Accounting;Prepares students to automate reporting and work with advanced formulas, requires basic Excel skills.;2026-05-03
8717;2031-06-17;523.87;Bank Transfer;134;Mohammed Ferreira;mohammed.ferreira594@protonmail.com;United Kingdom;54;463;SmartCenter;United States;870;Industrial IoT Certificate;advanced;English;250;Web Development Basics;Technology & IT;Prepares students to understand front-end and back-end web concepts, requires basic computer literacy.;2026-05-04
9269;2032-04-14;860.83;Credit Card;945;John Fischer;john.fischer316@yahoo.com;Poland;23;433;CoreLabs;India;941;Data Professional;professional;English;86;R for Data Analysis;Data Science & AI;Prepares students to perform statistical analysis in R, requires basic statistics knowledge.;2026-05-05
4945;2026-01-03;1021.04;Bank Transfer;350;Yuki Dubois;yuki.dubois345@icloud.com;Mexico;61;256;NovaCampus;Canada;560;Operations Excellence Certificate;advanced;English;251;Supply Chain Analytics;Data Science & AI;Prepares students to analyze logistics and operational performance, requires spreadsheet knowledge.;2026-05-06
403;2022-07-13;170.19;Credit Card;908;Hina Bruno;hina.bruno39@yahoo.com;India;33;23;BrightSphere;Sweden;671;HR Analytics Certificate;specialization;German;252;HR Analytics;Data Science & AI;Prepares students to analyze workforce and recruitment metrics, requires basic spreadsheet knowledge.;2026-05-07
4059;2025-08-04;1364.93;Credit Card;312;Min Sousa;min.sousa137@icloud.com;Netherlands;36;158;LearnNet;United States;390;Industrial IoT Certificate;advanced;German;253;ERP Systems Introduction;Professional Development;Prepares students to understand ERP workflows and organizational data, requires basic business process awareness.;2026-05-08
1688;2024-01-15;162.77;Credit Card;271;Wei Leroy;wei.leroy916@outlook.com;Germany;28;282;PeakForge;India;866;Business Intelligence Specialist;specialization;English;254;Data Governance Fundamentals;Data Science & AI;Prepares students to define standards for data quality and ownership, requires spreadsheet familiarity.;2026-05-09
1144;2023-07-08;263.83;PayPal;913;Noah Williams;noah.williams620@hotmail.com;Netherlands;27;436;SkillConnect;Australia;107;Digital Marketing Analyst;specialization;Italian;255;Database Design Principles;Data Science & AI;Prepares students to model business data structures, requires logical reasoning and basic computing knowledge.;2026-05-10
476;2022-08-25;820.39;PayPal;141;Maria Thomas;maria.thomas136@icloud.com;Brazil;28;456;RisePath;Portugal;1000;Operations Excellence Certificate;advanced;English;256;Machine Learning Basics;Data Science & AI;Prepares students to understand supervised learning workflows, requires statistics and Python basics.;2026-05-11
7096;2029-01-31;1400.0;PayPal;11;David Ferrari;david.ferrari134@gmail.com;United Kingdom;64;90;PeakPath;United States;920;Operations Excellence Certificate;advanced;German;109;Data Visualization with Power BI;Data Science & AI;Prepares students to build business dashboards in Power BI, requires basic data handling skills.;2026-05-12
10394;2034-09-06;524.79;PayPal;475;Wei Meyer;wei.meyer468@protonmail.com;Canada;25;143;PeakConnect;United States;629;Financial Modeling Certificate;professional;English;141;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-05-13
6317;2027-11-24;820.38;Debit Card;633;Jin Hoffmann;jin.hoffmann596@icloud.com;United States;35;218;CloudSchool;Canada;240;Operations Excellence Certificate;advanced;English;257;Data Governance Fundamentals;Data Science & AI;Prepares students to define standards for data quality and ownership, requires spreadsheet familiarity.;2026-05-14
9274;2032-04-20;176.87;Credit Card;33;Robert Romano;robert.romano276@outlook.com;India;32;281;EduBoost;India;635;Statistics for Business Certificate;specialization;English;258;Risk Management Essentials;Business & Management;Prepares students to identify, assess, and report business risks, requires basic business literacy.;2026-05-15
3558;2025-05-03;227.77;Credit Card;898;Michael Alves;michael.alves342@protonmail.com;United States;48;398;ByteSphere;United States;926;Business Intelligence Specialist;specialization;German;259;Financial Modeling Essentials;Finance & Accounting;Prepares students to build simple financial models, requires spreadsheet skills and basic finance knowledge.;2026-05-16
10084;2033-11-27;431.95;Bank Transfer;474;David Kumar;david.kumar875@protonmail.com;Mexico;32;156;EduStream;Brazil;214;Agile Practitioner Certificate;professional;Portuguese;260;Leadership in Digital Teams;Business & Management;Prepares students to manage remote and digital teams effectively, requires workplace experience or interest.;2026-05-17
10245;2034-04-11;688.54;Credit Card;642;Richard Hoffmann;richard.hoffmann837@yahoo.com;United States;25;207;ByteCenter;United States;568;Machine Learning Foundations Certificate;advanced;Spanish;42;HR Analytics;Data Science & AI;Prepares students to analyze workforce and recruitment metrics, requires basic spreadsheet knowledge.;2026-05-18
10230;2034-03-28;901.98;PayPal;407;Isabella Verma;isabella.verma196@icloud.com;Mexico;62;207;ByteCenter;United States;568;Machine Learning Foundations Certificate;advanced;Spanish;179;ERP Systems Introduction;Professional Development;Prepares students to understand ERP workflows and organizational data, requires basic business process awareness.;2026-05-19
8781;2031-07-25;30.93;Debit Card;585;Sofia Smith;sofia.smith74@protonmail.com;Mexico;55;37;CloudCampus;India;133;Database Foundations Certificate;completion;English;261;Python for Business Analytics;Data Science & AI;Prepares students to analyze business data with Python, requires familiarity with spreadsheets and basic logic.;2026-05-20
7823;2030-02-19;167.99;Credit Card;301;Aisha Pillai;aisha.pillai850@hotmail.com;France;31;13;ByteBoost;Canada;675;Statistics for Business Certificate;specialization;Portuguese;262;Operations Management;Business & Management;Prepares students to optimize workflows and resources, requires basic business knowledge.;2026-05-21
10338;2034-07-14;69.74;Bank Transfer;335;Li Hoffmann;li.hoffmann599@yahoo.com;Netherlands;26;425;ApexSchool;United States;179;AI Productivity Certificate;completion;English;263;Digital Marketing Analytics;Data Science & AI;Prepares students to measure campaign performance and customer behavior, requires basic marketing concepts.;2026-05-22
